2025-03-30 18:04:06,035 - INFO - Machine created: {'name': 'server1', 'os': 'bsd', 'cpu': {'model': '2', 'cores': 2}, 'ram': {'type': '2', 'size': 2}, 'memory': 2}
2025-03-30 18:11:03,500 - INFO - Machine created: {'name': 'server4', 'os': 'linux', 'cpu': {'model': 'intel', 'cores': 2}, 'ram': {'type': '2', 'size': 2}, 'memory': 2}
2025-03-30 21:19:03,088 - INFO - Machine created: {'name': 'server1', 'os': 'linux', 'cpu': {'model': 'das', 'cores': 4}, 'ram': {'type': 'ddr4', 'size': 4}, 'disk': 'nvidia'}
2025-03-30 21:20:04,161 - INFO - Machine created: {'name': 'server2', 'os': 'linux', 'cpu': {'model': '4', 'cores': 4}, 'ram': {'type': '4', 'size': 4}, 'disk': '4'}
2025-03-30 21:20:18,529 - INFO - Machine created: {'name': 'server2', 'os': 'bsd', 'cpu': {'model': '6', 'cores': 6}, 'ram': {'type': '6', 'size': 6}, 'disk': '6'}
2025-03-31 09:21:24,463 - INFO - Machine created: {'name': 'choko', 'os': 'linux', 'cpu': {'model': 'AMD', 'cores': 2}, 'ram': {'type': 'd', 'size': 2}, 'disk': '2'}
2025-03-31 09:21:47,619 - INFO - Machine created: {'name': 'koko', 'os': 'bsd', 'cpu': {'model': 'AMD', 'cores': 4}, 'ram': {'type': 'D', 'size': 2}, 'disk': 'intel'}
2025-03-31 09:23:07,089 - INFO - Machine created: {'name': 'ratata', 'os': 'unix', 'cpu': {'model': 'AMD', 'cores': 2}, 'ram': {'type': 'DDR4', 'size': 2}, 'disk': '2'}
2025-03-31 09:24:06,320 - INFO - Machine created: {'name': 'tomer', 'os': 'linux', 'cpu': {'model': 'AMD', 'cores': 2}, 'ram': {'type': '2', 'size': 2}, 'disk': ''}
2025-03-31 09:24:51,803 - INFO - Machine created: {'name': 'tomer', 'os': 'unix', 'cpu': {'model': 'AMD', 'cores': 2}, 'ram': {'type': '2', 'size': 2}, 'disk': '2'}
2025-03-31 09:26:15,423 - INFO - Machine created: {'name': 'lolo', 'os': 'windows', 'cpu': {'model': '2', 'cores': 2}, 'ram': {'type': '2', 'size': 2}, 'disk': '2'}
2025-03-31 09:26:48,011 - INFO - Machine created: {'name': 'chokomoko', 'os': 'linux', 'cpu': {'model': 'AMD', 'cores': 2}, 'ram': {'type': '2', 'size': 2}, 'disk': '2'}
2025-03-31 09:27:15,970 - INFO - Machine created: {'name': 'dasd', 'os': 'bsd', 'cpu': {'model': '2', 'cores': 2}, 'ram': {'type': '2', 'size': 2}, 'disk': '2'}
2025-03-31 09:28:50,945 - INFO - Machine created: {'name': 'kolo', 'os': 'bsd', 'cpu': {'model': '2', 'cores': 2}, 'ram': {'type': '2', 'size': 2}, 'disk': '2'}
2025-03-31 09:29:37,808 - INFO - Machine created: {'name': 'kalala', 'os': 'linux', 'cpu': {'model': 'AMD', 'cores': 2}, 'ram': {'type': '2', 'size': 2}, 'disk': '2'}
